"fid","Name","Р2О5","К2О","Гидролитическая кислотность","рН водный","Гумус","рН солевой","fid2","red color","green color","blue color","8 канал","7 канал","6 канал","5 канал","4 канал","3 канал","2 канал","1 канал","Растительность"
"1","Поле √°52 проба 1","76","84","2.86","6.2","1.39","4.5","1","116","100","73","3700","3454","3229","2592","2128","1966","1693","1602","нет"
"2","Поле √°52 проба 2","103","86","3.13","6.3","1.55","4.7","2","142","102","77","3006","2798","2710","2577","2383","1984","1732","1686","нет"
"3","Поле √°53 проба 1","74","89","3.19","6.3","1.73","4.7","3","154","109","79","3177","2998","2869","2748","2508","2068","1770","1741","нет"
"4","Поле √°53 проба 2","92","120","3.05","6.2","1.5","4.5","4","140","98","72","3118","2894","2745","2609","2385","1982","1720","1680","нет"
"5","Поле √°54","154","143","1.28","7","1.58","6.1","5","144","104","76","3122","2922","2786","2588","2409","2016","1749","1674","нет"
"6","Поле √°54","160","140","1.94","6.6","2.43","5.3","6","161","116","86","3257","3094","2927","2803","2557","2130","1827","1764","нет"
"7","Поле √°666","250","169","2.21","6.6","1.91","5.3","7","113","108","73","4084","3876","3603","2653","2104","2059","1713","1636","нет"
"8","Поле √°666","357","142","3.05","6.5","2.21","5.2","8","104","99","67","3930","3714","3472","2519","2014","1967","1668","1595","нет"
"9","Поле √°84","500","178","2.68","6.3","2.45","5","9","89","62","47","2511","2318","2181","2029","1894","1626","1464","1452","нет"
"10","Поле √°50/1","101","96","2.57","6.3","1.25","4.7","10","183","124","79","3333","3261","3134","2992","2785","2212","1785","1632","нет"
"11","Поле √°50","110","100","2.46","6.6","1.74","5.3","11","129","99","70","3518","3199","3011","2579","2256","1968","1708","1608","нет"
"12","Поле √°51","56","92","2.16","6.4","1.99","4.7","12","113","92","61","3444","3331","3140","2547","2104","1905","1596","1536","нет"
"13","Поле √°49 проба 1","80","104","2.21","6.7","1.72","5.4","13","118","85","64","2981","2709","2580","2398","2155","1833","1631","1627","нет"
"14","Поле √°49 проба 2","99","143","3.26","6.6","2.35","5.2","14","121","89","67","2971","2726","2550","2362","2184","1850","1640","1583","нет"
"15","Поле √°48 проба 1","82","41","4.05","6.1","2","4.4","15","99","69","52","2749","2497","2325","2171","1973","1671","1503","1509","легкая растительность"
"16","Поле √°48 проба 2","63","46","2.52","6.5","1.42","4.9","16","135","95","69","2966","2797","2655","2527","2329","1931","1666","1616","легкая растительность"
"17","Поле √°15 проба 2","183","122","2.46","6.4","1.67","5","17","62","72","44","4067","3845","3478","2160","1602","1707","1428","1371","нет"
"18","Поле √°15 проба 1","135","116","2.46","6.4","1.95","5","18","54","66","38","3982","3760","3401","2086","1534","1655","1382","1342","нет"
"19","Полк √°16/1","225","106","3.71","5.9","2.12","4.4","19","95","92","63","3764","3476","3258","2537","1935","1898","1615","1533","нет"
"20","Поле √°16 проба 1","461","102","3.26","6.2","1.43","4.6","20","109","77","60","2689","2499","2350","2250","2074","1750","1563","1503","нет"
"21","Поле √°16 проба 2","250","90","3.4","6","1.61","4.4","21","112","77","56","2780","2550","2396","2293","2098","1755","1551","1484","нет"
